CID,SMILES,source,SMILES_Hs,SMILES_noHs,levenshtein_distance,length_diff
30,NC(=CC=CC=O)C(=O)O,SMILES,N(C(=C(C(=C(C(=O)[H])[H])[H])[H])C(=O)O[H])([H])[H],NC(=CC=CC=O)C(=O)O,33,33
31,CC(O)(CO)C(O)COP(=O)(O)O,SMILES,C(C(O[H])(C(O[H])([H])[H])C(O[H])(C(OP(=O)(O[H])O[H])([H])[H])[H])([H])([H])[H],CC(O)(CO)C(O)COP(=O)(O)O,55,55
32,O=C(O)C=CC=C(C(=O)O)C(=O)O,SMILES,O=C(O[H])C(=C(C(=C(C(=O)O[H])C(=O)O[H])[H])[H])[H],O=C(O)C=CC=C(C(=O)O)C(=O)O,24,24
33,O=CCCl,SMILES,O=C(C(Cl)([H])[H])[H],O=CCCl,15,15
34,OCCCl,SMILES,O(C(C(Cl)([H])[H])([H])[H])[H],OCCCl,25,25
35,O=C(O)CC1(Cl)C=CC(=O)O1,SMILES,O=C(O[H])C(C1(Cl)C([H])=C([H])C(=O)O1)([H])[H],O=C(O)CC1(Cl)C=CC(=O)O1,23,23
36,CC(C)C(C(=O)O)C(O)C(=O)O,SMILES,C(C(C([H])([H])[H])(C(C(=O)O[H])(C(O[H])(C(=O)O[H])[H])[H])[H])([H])([H])[H],CC(C)C(C(=O)O)C(O)C(=O)O,52,52
37,O=C(O)C(=O)CC(O)C(O)CO,SMILES,O=C(O[H])C(=O)C(C(O[H])(C(O[H])(C(O[H])([H])[H])[H])[H])([H])[H],O=C(O)C(=O)CC(O)C(O)CO,42,42
38,CC(C)(CO)C(=O)C(=O)O,SMILES,C(C(C([H])([H])[H])(C(O[H])([H])[H])C(=O)C(=O)O[H])([H])([H])[H],CC(C)(CO)C(=O)C(=O)O,44,44
39,CC1(C)COC(=O)C1=O,SMILES,C(C1(C([H])([H])[H])C([H])([H])OC(=O)C1=O)([H])([H])[H],CC1(C)COC(=O)C1=O,38,38
40,OCC1OC(O)CC(O)C1O,SMILES,O(C(C1([H])OC(O[H])([H])C([H])([H])C(O[H])([H])C1(O[H])[H])([H])[H])[H],OCC1OC(O)CC(O)C1O,54,54
41,CSCCC(=O)C(O)=COP(=O)(O)O,SMILES,C(SC(C(C(=O)C(O[H])=C(OP(=O)(O[H])O[H])[H])([H])[H])([H])[H])([H])([H])[H],CSCCC(=O)C(O)=COP(=O)(O)O,49,49
42,O=C(O)CCC(=O)C=CC=C(O)C(=O)O,SMILES,O=C(O[H])C(C(C(=O)C(=C(C(=C(O[H])C(=O)O[H])[H])[H])[H])([H])[H])([H])[H],O=C(O)CCC(=O)C=CC=C(O)C(=O)O,44,44
43,O=C(O)CCC(O)C(=O)O,SMILES,O=C(O[H])C(C(C(O[H])(C(=O)O[H])[H])([H])[H])([H])[H],O=C(O)CCC(O)C(=O)O,34,34
44,O=C([O-])C(O)C(=O)[O-],SMILES,O=C([O-])C(O[H])(C(=O)[O-])[H],O=C([O-])C(O)C(=O)[O-],8,8
45,O=C(O)C(O)C(=O)O,SMILES,O=C(O[H])C(O[H])(C(=O)O[H])[H],O=C(O)C(O)C(=O)O,14,14
46,O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O,SMILES,O=C(O[H])C(=O)C(C(O[H])(C(O[H])(C(OP(=O)(O[H])O[H])([H])[H])[H])[H])([H])[H],O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O,45,45
47,CCC(C)C(=O)C(=O)O,SMILES,C(C(C(C([H])([H])[H])(C(=O)C(=O)O[H])[H])([H])[H])([H])([H])[H],CCC(C)C(=O)C(=O)O,46,46
49,CC(C)C(=O)C(=O)O,SMILES,C(C(C([H])([H])[H])(C(=O)C(=O)O[H])[H])([H])([H])[H],CC(C)C(=O)C(=O)O,36,36
50,O=C(O)C(=O)C(O)C(O)C(O)CO,SMILES,O=C(O[H])C(=O)C(O[H])(C(O[H])(C(O[H])(C(O[H])([H])[H])[H])[H])[H],O=C(O)C(=O)C(O)C(O)C(O)CO,40,40
51,O=C(O)CCC(=O)C(=O)O,SMILES,O=C(O[H])C(C(C(=O)C(=O)O[H])([H])[H])([H])[H],O=C(O)CCC(=O)C(=O)O,26,26
55,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O,SMILES,C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(c1c([H])c([H])c([H])c(O[H])c1O[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O,330,330
56,CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O,SMILES,C(C(=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(c1c([H])c([H])c([H])c(OC([H])([H])[H])c1O[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])([H])([H])[H],CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O,332,332
57,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O,SMILES,C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(c1c([H])c([H])c([H])c([H])c1O[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O,332,332
58,CCC(=O)C(=O)O,SMILES,C(C(C(=O)C(=O)O[H])([H])[H])([H])([H])[H],CCC(=O)C(=O)O,28,28
59,O=C(O)C(CO)OP(=O)(O)O,SMILES,O=C(O[H])C(C(O[H])([H])[H])(OP(=O)(O[H])O[H])[H],O=C(O)C(CO)OP(=O)(O)O,27,27
61,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,SMILES,O=C(O[H])C(C(OP(=O)(O[H])O[H])([H])[H])(OP(=O)(O[H])O[H])[H],O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,30,30
62,OC1C=C(Cl)C(Cl)C=C1Cl,SMILES,O(C1([H])C([H])=C(Cl)C(Cl)([H])C([H])=C1Cl)[H],OC1C=C(Cl)C(Cl)C=C1Cl,25,25
